水贝站,长岭陂站,29
深康站,长岭陂站,5
清湖站,长岭陂站,313
深大站,长岭陂站,12
深圳北站,长岭陂站,310
水湾站,长岭陂站,6
湾厦站,长岭陂站,4
爱联站,长岭陂站,31
田贝站,长岭陂站,22
燕南站,长岭陂站,8
灵芝站,长岭陂站,146
留仙洞站,长岭陂站,99
海月站,长岭陂站,10
洪浪北站,长岭陂站,116
永湖站,长岭陂站,13
海上世界站,长岭陂站,4
机场东站,长岭陂站,27
新秀站,长岭陂站,12
晒布站,长岭陂站,23
长岭陂站,桃园站,34
景田站,长岭陂站,6
杨美站,长岭陂站,214
木棉湾站,长岭陂站,49
长岭陂站,岗厦北站,9
长岭陂站,宝安中心站,46
长岭陂站,宝华站,25
长岭陂站,大学城站,131
长岭陂站,大剧院站,51
长岭陂站,塘朗站,68
长岭陂站,通新岭站,11
长岭陂站,吉祥站,19
长岭陂站,塘坑站,44
长岭陂站,南联站,23
长岭陂站,双龙站,47
长岭陂站,大新站,34
长岭陂站,后海站,14
莲花西站,长岭陂站,1
长岭陂站,莲花村站,11
翠竹站,长岭陂站,12
荷坳站,长岭陂站,25
老街站,长岭陂站,30
莲花北站,长岭陂站,49
翻身站,长岭陂站,103
长岭陂站,红树湾站,2
罗湖站,长岭陂站,16
白石龙站,长岭陂站,69
百鸽笼站,长岭陂站,68
白石洲站,长岭陂站,3
长岭陂站,华侨城站,1
丹竹头站,长岭陂站,105
东角头站,长岭陂站,6
下水径站,长岭陂站,145
长岭陂站,前海湾站,13
侨城东站,长岭陂站,11
湖贝站,长岭陂站,9
华强北站,长岭陂站,11
世界之窗站,长岭陂站,10
侨城北站,长岭陂站,3
六约站,长岭陂站,111
会展中心站,长岭陂站,56
侨香站,长岭陂站,3
兴东站,长岭陂站,129
华新站,长岭陂站,16
五和站,长岭陂站,1071
上水径站,长岭陂站,176
长岭陂站,国贸站,12
长岭陂站,固戍站,61
长岭陂站,后瑞站,12
长岭陂站,福永站,27
南山站,长岭陂站,43
长岭陂站,机场站,22
长岭陂站,碧海湾站,18
长岭陂站,宝安站,1
长岭陂站,桥头站,16
长岭陂站,香蜜湖站,2
长岭陂站,鲤鱼门站,46
长岭陂站,大芬站,65
长岭陂站,太安站,33
长岭陂站,大运站,27
长岭陂站,福田口岸站,39
竹子林站,长岭陂站,22
长岭陂站,福田站,10
红山站,长岭陂站,98
科学馆站,长岭陂站,14
科苑站,长岭陂站,8
红岭站,长岭陂站,9
上梅林站,长岭陂站,40
长岭陂站,高新园站,21
香蜜站,长岭陂站,1
安托山站,长岭陂站,10
长岭陂站,坂田站,581
福民站,长岭陂站,23
长岭陂站,少年宫站,29
长岭陂站,岗厦站,22
长岭陂站,坪洲站,98
宝体站,长岭陂站,25
长岭陂站,市民中心站,12
益田站,长岭陂站,5
石厦站,长岭陂站,19
长岭陂站,深湾站,4
长岭陂站,布吉站,175
上塘站,长岭陂站,77
长岭陂站,深圳湾公园站,3
长岭陂站,民治站,1051
长岭陂站,怡景站,72
长岭陂站,民乐站,41
布心站,长岭陂站,49
长岭陂站,横岗站,41
新安站,长岭陂站,6
购物公园站,车公庙站,2441
车公庙站,西丽站,2541
车公庙站,西乡站,867
车公庙站,长龙站,647
车公庙站,草埔站,736
车公庙站,香梅北站,320
车公庙站,龙井站,692
龙城广场站,车公庙站,271
车公庙站,珠光站,1572
龙华站,车公庙站,1967
沙尾站,车公庙站,4308
上沙站,车公庙站,3298
皇岗村站,车公庙站,661
车公庙站,农林站,741
车公庙站,桃源村站,1235
车公庙站,皇岗口岸站,362
西丽湖站,车公庙站,569
车公庙站,深云站,313
茶光站,车公庙站,902
车公庙站,华强路站,2070
车公庙站,龙胜站,2036
车公庙站,黄贝岭站,1507
红树湾南站,车公庙站,206
红岭北站,车公庙站,893
笋岗站,车公庙站,815
赤尾站,车公庙站,1104
洪湖站,车公庙站,291
华强南站,车公庙站,372
黄木岗站,车公庙站,303
八卦岭站,车公庙站,356
下沙站,车公庙站,2283
车公庙站,文锦站,86
梅景站,车公庙站,2010
香梅站,车公庙站,915
车公庙站,人民南站,57
车公庙站,向西村站,141
下梅林站,车公庙站,1425
车公庙站,鹿丹村站,81
